name,cnpj,start,end,te,tusd,rate,resolution
CERES,31465487000101,2026-04-29,2027-04-28,0.40556,1.16367,1.56923,"RESOLUÇÃO HOMOLOGATÓRIA Nº 1.454, DE 28 DE ABRIL DE 2026"
CERCI,27707397000102,2026-04-29,2027-04-28,0.37465,1.12624,1.50089,"RESOLUÇÃO HOMOLOGATÓRIA Nº 1.464, DE 28 DE ABRIL DE 2026"
COOPERNORTE,88022918000182,2026-01-01,2026-12-21,0.39687,0.97426,1.37113,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.561, DE 9 DE DEZEMBRO DE 2025"
CERAL ARARUAMA,28610236000169,2026-04-29,2027-04-28,0.14844,1.0579,1.20634,"RESOLUÇÃO HOMOLOGATÓRIA Nº 1.463, DE 28 DE ABRIL DE 2026"
CERTREL,76583962000182,2026-01-01,2026-09-29,0.20647,0.9208200000000001,1.12729,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.526, DE 23 DE SETEMBRO DE 2025"
CERIS,57384943000182,2026-07-30,2027-07-29,0.36083,0.75429,1.11512,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.814, DE 30 DE JULHO DE 2026"
CEDRAP,60196987000193,2026-01-01,2026-11-29,0.26539999999999997,0.8254400000000001,1.09084,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.549, DE 25 DE NOVEMBRO DE 2025"
ENEL RJ,33050071000158,2026-03-15,2027-03-14,0.32938,0.73172,1.0611,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.570, DE 10 DE MARÇO DE 2026"
CERPALO,85318640000105,2026-01-01,2026-09-29,0.3044,0.71082,1.01522,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.523, DE 23 DE SETEMBRO DE 2025"
CERCOS,13107842000199,2026-05-29,2027-05-28,0.29763999999999996,0.71676,1.0144,"RESOLUÇÃO HOMOLOGATÓRIA Nº 1.902, DE 26 DE MAIO DE 2026"
CERAL ANITÁPOLIS,75826404000138,2026-01-01,2026-11-29,0.22097,0.7809299999999999,1.0019,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.550, DE 25 DE NOVEMBRO DE 2025"
ETO,25086034000171,2026-08-26,2027-08-25,0.30951,0.6832699999999999,0.99278,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.323, DE 24 DE AGOSTO DE 2026"
EMS,15413826000150,2026-04-22,2027-04-21,0.32459,0.66201,0.9866,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.582, DE 22 DE ABRIL DE 2026"
EQUATORIAL PA,04895728000180,2026-01-01,2026-12-31,0.28622000000000003,0.69208,0.9783,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.507, DE 5 DE AGOSTO DE 2025"
CELETRO,87776043000141,2026-07-30,2027-07-29,0.33165,0.6376000000000001,0.96925,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.812, DE 30 DE JULHO DE 2026"
CERMC,52548732000114,2026-01-01,2026-11-29,0.34591000000000005,0.62317,0.96908,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.552, DE 25 DE NOVEMBRO DE 2025"
CEREJ,82574864000181,2026-01-01,2026-09-29,0.23717,0.7246900000000001,0.96186,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.532, DE 23 DE SETEMBRO DE 2025"
EQUATORIAL PI,06840748000189,2026-01-01,2026-12-01,0.29947,0.64722,0.94669,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.555, DE 25 DE NOVEMBRO DE 2025"
RGE,02016440000162,2026-06-19,2027-06-18,0.35611000000000004,0.5885,0.94461,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.590, DE 16 DE JUNHO DE 2026"
CERGRAL,86449170000173,2026-01-01,2026-09-29,0.24258000000000002,0.69172,0.9343,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.540, DE 23 DE SETEMBRO DE 2025"
EMR,19527639000158,2026-06-22,2027-06-21,0.36089,0.5581,0.91899,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.591, DE 19 DE JUNHO DE 2026"
CERTEL ENERGIA,09257558000121,2026-07-30,2027-07-29,0.32585000000000003,0.58765,0.9135,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.842, DE 30 DE JULHO DE 2026"
CETRIL,49313653000110,2026-01-01,2026-11-29,0.25788,0.6521,0.90998,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.553, DE 25 DE NOVEMBRO DE 2025"
CEMIG-D,06981180000116,2026-05-28,2027-05-27,0.31021,0.59308,0.90329,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.589, DE 26 DE MAIO DE 2026"
EMT,03467321000199,2026-04-08,2027-04-07,0.29414,0.6052799999999999,0.89942,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.581, DE 22 DE ABRIL DE 2026"
EQUATORIAL GO,01543032000104,2026-01-01,2026-10-21,0.32414,0.56767,0.89181,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.544, DE 21 DE OUTUBRO DE 2025"
ELEKTRO,02328280000197,2026-08-27,2027-08-26,0.32636000000000004,0.5652699999999999,0.89163,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.605, DE 26 DE AGOSTO DE 2026"
CERMISSÕES,97081434000103,2026-07-30,2027-07-29,0.27155,0.61934,0.89089,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.815, DE 30 DE JULHO DE 2026"
EQUATORIAL MA,06272793000184,2026-08-28,2027-08-27,0.2813,0.60754,0.88884,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.604, DE 26 DE AGOSTO DE 2026"
CEDRI,50105865000190,2026-01-01,2026-09-29,0.29646,0.58947,0.88593,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.531, DE 23 DE SETEMBRO DE 2025"
CERIM,50235449000107,2026-01-01,2026-11-29,0.2592,0.62306,0.88226,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.551, DE 25 DE NOVEMBRO DE 2025"
LIGHT SESA,60444437000146,2026-03-15,2027-03-14,0.302,0.57856,0.88056,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.571, DE 10 DE MARÇO DE 2026"
COELBA,15139629000194,2026-04-22,2027-04-21,0.25765,0.6200800000000001,0.87773,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.578, DE 22 DE ABRIL DE 2026"
Âmbar Amazonas,02341467000120,2026-05-26,2027-05-25,0.28111,0.5946,0.87571,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.588, DE 19 DE MAIO DE 2026"
CEPRAG,78274610000170,2026-01-01,2026-12-21,0.22177000000000002,0.6420800000000001,0.86385,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.563, DE 9 DE DEZEMBRO DE 2025"
CERVAM,55188502000180,2026-01-01,2026-09-29,0.25437,0.60921,0.86358,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.527, DE 23 DE SETEMBRO DE 2025"
EQUATORIAL AL,12272084000100,2026-05-03,2027-05-02,0.20107,0.65034,0.85141,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.584, DE 28 DE ABRIL DE 2026"
EDP ES,28152650000171,2026-08-07,2027-08-06,0.33738999999999997,0.50632,0.84371,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.600, DE 31 DE JULHO DE 2026"
CERFOX,97505838000179,2026-07-30,2027-07-29,0.22263,0.61814,0.84077,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.840, DE 30 DE JULHO DE 2026"
UHENPAL,89889604000144,2026-07-22,2027-07-21,0.28637999999999997,0.54877,0.83515,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.674, DE 22 DE JULHO DE 2026"
EAC,04065033000170,2026-08-26,2026-12-12,0.11386,0.71585,0.82971,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.318, DE 24 DE AGOSTO DE 2026"
Neoenergia Brasília,07522669000192,2026-01-01,2026-10-21,0.4028,0.42392,0.82672,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.542, DE 21 DE OUTUBRO DE 2025"
CEA,05965546000109,2026-04-13,2027-05-24,0.041049999999999996,0.7841,0.82515,
CEEE-D,08467115000100,2026-01-01,2026-11-21,0.34337,0.47863,0.822,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.547, DE 18 DE NOVEMBRO DE 2025"
CERIPa,49606312000132,2026-04-29,2027-04-28,0.17401,0.6471699999999999,0.82118,"RESOLUÇÃO HOMOLOGATÓRIA Nº 1.462, DE 28 DE ABRIL DE 2026"
CHESP,01377555000110,2026-01-01,2026-11-21,0.29069,0.52906,0.81975,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.545, DE 11 DE NOVEMBRO DE 2025"
ESS,07282377000120,2026-07-12,2027-07-11,0.32156,0.49268,0.81424,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.599, DE 15 DE JULHO DE 2026"
